Date,Pollutant,State,Daily AQI Value,County,Site Latitude,Site Longitude
1/1/2019,O3,Texas,30,Brazoria,29.043759,-95.472946
1/1/2019,NO2,Texas,30,El Paso,31.765685,-106.455227
1/1/2019,O3,Texas,31,Montgomery,30.350302,-95.425128
1/1/2019,O3,Texas,32,Cameron,26.200335,-97.712684
1/1/2019,PM2.5,Texas,33,Denton,33.219069,-97.196284
1/1/2019,PM2.5,Texas,33,McLennan,31.653086,-97.070704
1/1/2019,PM2.5,Texas,38,Kaufman,32.564968,-96.317687
1/1/2019,PM2.5,Texas,39,Tarrant,32.80581,-97.356529
1/1/2019,PM2.5,Texas,44,Ellis,32.175417,-96.870189
1/1/2019,PM2.5,Texas,51.5,Cameron,26.200335,-97.712684
1/1/2019,PM2.5,Texas,53,Ector,31.870259,-102.334745
1/1/2019,PM2.5,Texas,55,Dallas,32.820061,-96.860117
1/1/2019,PM2.5,Texas,61,Webb,27.507904,-99.523949
1/1/2019,PM2.5,Texas,62,Jefferson,29.979958,-94.004746
1/1/2019,PM2.5,Texas,64.75,El Paso,31.765685,-106.455227
1/1/2019,PM2.5,Texas,66,Montgomery,30.350302,-95.425128
1/1/2019,PM2.5,Texas,84,Travis,30.35386,-97.69166
1/1/2019,PM2.5,Texas,90.66666667,Nueces,27.76534,-97.434262
1/1/2019,PM2.5,Texas,96,Hidalgo,26.226343,-98.2908496
1/1/2019,PM2.5,Texas,117,Harris,29.686389,-95.294722
1/1/2019,PM2.5,Texas,128.8,Bexar,29.275381,-98.311692
1/2/2019,PM2.5,Texas,33,Lubbock,33.58553,-101.78698
1/2/2019,PM2.5,Texas,35,Hidalgo,26.226343,-98.2908496
1/2/2019,PM2.5,Texas,35.66666667,Nueces,27.76534,-97.434262
1/2/2019,PM2.5,Texas,38,Ector,31.870259,-102.334745
1/2/2019,PM2.5,Texas,43,Dallas,32.820061,-96.860117
1/2/2019,PM2.5,Texas,46,Cameron,26.200335,-97.712684
1/2/2019,PM2.5,Texas,47.5,El Paso,31.765685,-106.455227
1/2/2019,PM2.5,Texas,52,Webb,27.507904,-99.523949
1/3/2019,O3,Texas,30.6,El Paso,31.765685,-106.455227
1/3/2019,PM2.5,Texas,33.25,Travis,30.35386,-97.69166
1/3/2019,O3,Texas,34,Randall,34.8803,-101.6649
1/3/2019,PM2.5,Texas,43,Ector,31.870259,-102.334745
1/3/2019,PM2.5,Texas,44,Webb,27.507904,-99.523949
1/3/2019,PM2.5,Texas,47.8,El Paso,31.765685,-106.455227
1/4/2019,PM2.5,Texas,30,Jefferson,29.979958,-94.004746
1/4/2019,O3,Texas,30,Travis,30.35386,-97.69166
1/4/2019,O3,Texas,31,Hidalgo,26.226343,-98.2908496
1/4/2019,O3,Texas,31,McLennan,31.653086,-97.070704
1/4/2019,O3,Texas,31,Montgomery,30.350302,-95.425128
1/4/2019,O3,Texas,31,Smith,32.344027,-95.415754
1/4/2019,O3,Texas,31,Tarrant,32.80581,-97.356529
1/4/2019,O3,Texas,31,Webb,27.507904,-99.523949
1/4/2019,O3,Texas,31.5,Bell,31.088002,-97.679734
1/4/2019,O3,Texas,31.5,Denton,33.219069,-97.196284
1/4/2019,NO2,Texas,32,Bexar,29.275381,-98.311692
1/4/2019,O3,Texas,32,Ellis,32.175417,-96.870189
1/4/2019,NO2,Texas,32.5,Travis,30.35386,-97.69166
1/4/2019,O3,Texas,33.5,Nueces,27.76534,-97.434262
1/4/2019,NO2,Texas,33.75,Dallas,32.820061,-96.860117
1/4/2019,O3,Texas,34,Bexar,29.275381,-98.311692
1/4/2019,PM2.5,Texas,34,Tarrant,32.80581,-97.356529
1/4/2019,NO2,Texas,35,Bell,31.088002,-97.679734
1/4/2019,O3,Texas,35,Cameron,26.200335,-97.712684
1/4/2019,O3,Texas,35,Johnson,32.353595,-97.436742
1/4/2019,O3,Texas,35,Parker,32.868773,-97.905931
1/4/2019,PM2.5,Texas,35.66666667,Nueces,27.76534,-97.434262
1/4/2019,PM2.5,Texas,37.25,Bexar,29.275381,-98.311692
1/4/2019,PM2.5,Texas,39,Ector,31.870259,-102.334745
1/4/2019,NO2,Texas,39.33333333,El Paso,31.765685,-106.455227
1/4/2019,PM2.5,Texas,39.5,Dallas,32.820061,-96.860117
1/4/2019,PM2.5,Texas,40.66666667,Harris,29.686389,-95.294722
1/4/2019,O3,Texas,43,Randall,34.8803,-101.6649
1/4/2019,PM2.5,Texas,44.66666667,Travis,30.35386,-97.69166
1/4/2019,PM2.5,Texas,46.5,Cameron,26.200335,-97.712684
1/4/2019,PM2.5,Texas,51,Hidalgo,26.226343,-98.2908496
1/4/2019,PM2.5,Texas,55,Webb,27.507904,-99.523949
1/4/2019,PM2.5,Texas,63,El Paso,31.765685,-106.455227
1/5/2019,NO2,Texas,30.5,Dallas,32.820061,-96.860117
1/5/2019,NO2,Texas,30.5,Tarrant,32.80581,-97.356529
1/5/2019,O3,Texas,31,Rockwall,32.936523,-96.459211
